file,instance,method,obj,route,time,congestion,elapsed time,evaluated solutions
config_{02-00-01}_{06-01}_01_decomposedNeighborhoodSearch_20250831T021148494.log,{02-00-01}_{06-01}_01,decomposedNeighborhoodSearch,32.91000988,5.60,27.31,0.00,0.28,1
config_{02-00-01}_{06-01}_01_decomposedRandom_20250831T021232464.log,{02-00-01}_{06-01}_01,decomposedRandom,32.91000988,5.60,27.31,0.00,0.33,1
config_{02-00-01}_{06-01}_01_localRefinement_20250831T131027197.log,{02-00-01}_{06-01}_01,localRefinement,32.91000988,5.60,27.31,0.00,0.38,1
config_{02-00-01}_{06-01}_02_decomposedNeighborhoodSearch_20250831T021148494.log,{02-00-01}_{06-01}_02,decomposedNeighborhoodSearch,42.89118093,7.09,35.80,0.00,0.47,1
config_{02-00-01}_{06-01}_02_decomposedRandom_20250831T021232464.log,{02-00-01}_{06-01}_02,decomposedRandom,42.89118093,7.09,35.80,0.00,0.52,1
config_{02-00-01}_{06-01}_02_localRefinement_20250831T131027197.log,{02-00-01}_{06-01}_02,localRefinement,42.89118093,7.09,35.80,0.00,0.61,1
config_{02-00-01}_{06-01}_03_decomposedNeighborhoodSearch_20250831T021148494.log,{02-00-01}_{06-01}_03,decomposedNeighborhoodSearch,2.33203340,2.33,0.00,0.00,0.27,1
config_{02-00-01}_{06-01}_03_decomposedRandom_20250831T021232464.log,{02-00-01}_{06-01}_03,decomposedRandom,2.33203340,2.33,0.00,0.00,0.31,1
config_{02-00-01}_{06-01}_03_localRefinement_20250831T131027197.log,{02-00-01}_{06-01}_03,localRefinement,2.33203340,2.33,0.00,0.00,0.38,1
config_{02-00-01}_{06-01}_04_decomposedNeighborhoodSearch_20250831T021148494.log,{02-00-01}_{06-01}_04,decomposedNeighborhoodSearch,4.02285029,4.02,0.00,0.00,0.31,1
config_{02-00-01}_{06-01}_04_decomposedRandom_20250831T021232464.log,{02-00-01}_{06-01}_04,decomposedRandom,4.02285029,4.02,0.00,0.00,0.34,1
config_{02-00-01}_{06-01}_04_localRefinement_20250831T131027197.log,{02-00-01}_{06-01}_04,localRefinement,4.02285029,4.02,0.00,0.00,0.40,1
config_{02-00-01}_{06-01}_05_decomposedNeighborhoodSearch_20250831T021404398.log,{02-00-01}_{06-01}_05,decomposedNeighborhoodSearch,3.89379941,3.89,0.00,0.00,0.09,1
config_{02-00-01}_{06-01}_05_decomposedRandom_20250831T022309288.log,{02-00-01}_{06-01}_05,decomposedRandom,3.89379941,3.89,0.00,0.00,0.09,1
config_{02-00-01}_{06-01}_05_localRefinement_20250831T141027295.log,{02-00-01}_{06-01}_05,localRefinement,3.89379941,3.89,0.00,0.00,0.10,1
config_{04-00-02}_{06-02}_01_decomposedNeighborhoodSearch_20250831T022418717.log,{04-00-02}_{06-02}_01,decomposedNeighborhoodSearch,55.93108998,25.90,30.04,0.00,0.61,1
config_{04-00-02}_{06-02}_01_decomposedRandom_20250831T023823596.log,{04-00-02}_{06-02}_01,decomposedRandom,55.93108998,25.90,30.04,0.00,0.62,1
config_{04-00-02}_{06-02}_01_localRefinement_20250831T141027295.log,{04-00-02}_{06-02}_01,localRefinement,55.93108998,25.90,30.04,0.00,0.64,1
config_{04-00-02}_{06-02}_02_decomposedNeighborhoodSearch_20250831T022452876.log,{04-00-02}_{06-02}_02,decomposedNeighborhoodSearch,57.65650590,26.78,30.87,0.00,0.38,1
config_{04-00-02}_{06-02}_02_decomposedRandom_20250831T024555019.log,{04-00-02}_{06-02}_02,decomposedRandom,57.65650590,26.78,30.87,0.00,0.39,1
config_{04-00-02}_{06-02}_02_localRefinement_20250831T141027295.log,{04-00-02}_{06-02}_02,localRefinement,57.65650590,26.78,30.87,0.00,0.40,1
config_{04-00-02}_{06-02}_03_decomposedNeighborhoodSearch_20250831T022552544.log,{04-00-02}_{06-02}_03,decomposedNeighborhoodSearch,20.29128236,20.29,0.00,0.00,0.55,1
config_{04-00-02}_{06-02}_03_decomposedRandom_20250831T025448266.log,{04-00-02}_{06-02}_03,decomposedRandom,20.29128236,20.29,0.00,0.00,0.54,1
config_{04-00-02}_{06-02}_03_localRefinement_20250831T141027298.log,{04-00-02}_{06-02}_03,localRefinement,20.29128236,20.29,0.00,0.00,0.60,1
config_{04-00-02}_{06-02}_04_decomposedNeighborhoodSearch_20250831T024132673.log,{04-00-02}_{06-02}_04,decomposedNeighborhoodSearch,28.93669969,21.41,7.52,0.00,1.78,1
config_{04-00-02}_{06-02}_04_decomposedRandom_20250831T031232532.log,{04-00-02}_{06-02}_04,decomposedRandom,28.93669969,21.41,7.52,0.00,1.72,1
config_{04-00-02}_{06-02}_04_localRefinement_20250831T151027314.log,{04-00-02}_{06-02}_04,localRefinement,28.93669969,21.41,7.52,0.00,1.71,1
config_{04-00-02}_{06-02}_05_decomposedNeighborhoodSearch_20250831T032419134.log,{04-00-02}_{06-02}_05,decomposedNeighborhoodSearch,47.28394836,23.19,24.09,0.00,0.35,1
config_{04-00-02}_{06-02}_05_decomposedRandom_20250831T033823793.log,{04-00-02}_{06-02}_05,decomposedRandom,47.28394836,23.19,24.09,0.00,0.36,1
config_{04-00-02}_{06-02}_05_localRefinement_20250831T151027393.log,{04-00-02}_{06-02}_05,localRefinement,47.28394836,23.19,24.09,0.00,0.36,1
config_{04-01-01}_{06-02}_01_decomposedNeighborhoodSearch_20250831T072420444.log,{04-01-01}_{06-02}_01,decomposedNeighborhoodSearch,323.61072382,132.43,191.18,0.00,5.85,1
config_{04-01-01}_{06-02}_01_decomposedRandom_20250831T073825342.log,{04-01-01}_{06-02}_01,decomposedRandom,323.61072382,132.43,191.18,0.00,7.18,1
config_{04-01-01}_{06-02}_01_localRefinement_20250831T191029375.log,{04-01-01}_{06-02}_01,localRefinement,323.61072382,132.43,191.18,0.00,6.47,1
config_{04-01-01}_{06-02}_02_decomposedNeighborhoodSearch_20250831T072453956.log,{04-01-01}_{06-02}_02,decomposedNeighborhoodSearch,338.56669997,151.04,187.53,0.00,4.50,1
config_{04-01-01}_{06-02}_02_decomposedRandom_20250831T074555915.log,{04-01-01}_{06-02}_02,decomposedRandom,338.56669997,151.04,187.53,0.00,5.15,1
config_{04-01-01}_{06-02}_02_localRefinement_20250831T191032098.log,{04-01-01}_{06-02}_02,localRefinement,338.56669997,151.04,187.53,0.00,4.45,1
config_{04-01-01}_{06-02}_03_decomposedNeighborhoodSearch_20250831T072555610.log,{04-01-01}_{06-02}_03,decomposedNeighborhoodSearch,165.01941229,105.64,59.38,0.00,7.10,1
config_{04-01-01}_{06-02}_03_decomposedRandom_20250831T075449344.log,{04-01-01}_{06-02}_03,decomposedRandom,165.01941229,105.64,59.38,0.00,7.95,1
config_{04-01-01}_{06-02}_03_localRefinement_20250831T191032141.log,{04-01-01}_{06-02}_03,localRefinement,165.01941229,105.64,59.38,0.00,7.10,1
config_{04-01-01}_{06-02}_04_decomposedNeighborhoodSearch_20250831T074135390.log,{04-01-01}_{06-02}_04,decomposedNeighborhoodSearch,147.71197532,108.67,39.04,0.00,4.36,1
config_{04-01-01}_{06-02}_04_decomposedRandom_20250831T081234904.log,{04-01-01}_{06-02}_04,decomposedRandom,147.71197532,108.67,39.04,0.00,4.04,1
config_{04-01-01}_{06-02}_04_localRefinement_20250831T201029962.log,{04-01-01}_{06-02}_04,localRefinement,147.71197532,108.67,39.04,0.00,4.49,1
config_{04-01-01}_{06-02}_05_decomposedNeighborhoodSearch_20250831T082422791.log,{04-01-01}_{06-02}_05,decomposedNeighborhoodSearch,307.55923869,153.35,154.21,0.00,6.96,1
config_{04-01-01}_{06-02}_05_decomposedRandom_20250831T083827152.log,{04-01-01}_{06-02}_05,decomposedRandom,307.55923869,153.35,154.21,0.00,6.29,1
config_{04-01-01}_{06-02}_05_localRefinement_20250831T201030068.log,{04-01-01}_{06-02}_05,localRefinement,307.55923869,153.35,154.21,0.00,5.95,1
config_{06-00-03}_{06-03}_01_decomposedNeighborhoodSearch_20250831T032452935.log,{06-00-03}_{06-03}_01,decomposedNeighborhoodSearch,122.67071694,63.08,59.59,0.00,1.25,1
config_{06-00-03}_{06-03}_01_decomposedRandom_20250831T034555129.log,{06-00-03}_{06-03}_01,decomposedRandom,122.67071694,63.08,59.59,0.00,1.35,1
config_{06-00-03}_{06-03}_01_localRefinement_20250831T151027400.log,{06-00-03}_{06-03}_01,localRefinement,122.67071694,63.08,59.59,0.00,1.14,1
config_{06-00-03}_{06-03}_02_decomposedNeighborhoodSearch_20250831T032553062.log,{06-00-03}_{06-03}_02,decomposedNeighborhoodSearch,114.29318171,45.02,69.27,0.00,1.21,1
config_{06-00-03}_{06-03}_02_decomposedRandom_20250831T035448325.log,{06-00-03}_{06-03}_02,decomposedRandom,114.29318171,45.02,69.27,0.00,1.09,1
config_{06-00-03}_{06-03}_02_localRefinement_20250831T151027422.log,{06-00-03}_{06-03}_02,localRefinement,114.29318171,45.02,69.27,0.00,1.10,1
config_{06-00-03}_{06-03}_03_decomposedNeighborhoodSearch_20250831T034132792.log,{06-00-03}_{06-03}_03,decomposedNeighborhoodSearch,116.93704515,56.74,60.19,0.00,3.95,1
config_{06-00-03}_{06-03}_03_decomposedRandom_20250831T041233300.log,{06-00-03}_{06-03}_03,decomposedRandom,116.93704515,56.74,60.19,0.00,3.94,1
config_{06-00-03}_{06-03}_03_localRefinement_20250831T161027407.log,{06-00-03}_{06-03}_03,localRefinement,116.93704515,56.74,60.19,0.00,3.76,1
config_{06-00-03}_{06-03}_04_decomposedNeighborhoodSearch_20250831T042419412.log,{06-00-03}_{06-03}_04,decomposedNeighborhoodSearch,126.72051441,45.67,81.05,0.00,1.37,1
config_{06-00-03}_{06-03}_04_decomposedRandom_20250831T043823881.log,{06-00-03}_{06-03}_04,decomposedRandom,126.72051441,45.67,81.05,0.00,1.33,1
config_{06-00-03}_{06-03}_04_localRefinement_20250831T161027516.log,{06-00-03}_{06-03}_04,localRefinement,126.72051441,45.67,81.05,0.00,1.27,1
config_{06-00-03}_{06-03}_05_decomposedNeighborhoodSearch_20250831T042453462.log,{06-00-03}_{06-03}_05,decomposedNeighborhoodSearch,92.74421117,56.13,36.61,0.00,2.83,1
config_{06-00-03}_{06-03}_05_decomposedRandom_20250831T044555225.log,{06-00-03}_{06-03}_05,decomposedRandom,92.74421117,56.13,36.61,0.00,2.63,1
config_{06-00-03}_{06-03}_05_localRefinement_20250831T161027624.log,{06-00-03}_{06-03}_05,localRefinement,92.74421117,56.13,36.61,0.00,2.25,1
config_{08-00-04}_{06-04}_01_decomposedNeighborhoodSearch_20250831T042553587.log,{08-00-04}_{06-04}_01,decomposedNeighborhoodSearch,143.50523223,78.10,65.41,0.00,3.04,1
config_{08-00-04}_{06-04}_01_decomposedRandom_20250831T045448407.log,{08-00-04}_{06-04}_01,decomposedRandom,143.50523223,78.10,65.41,0.00,3.06,1
